-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.353ms         0.14%       1.353ms      36.572us           0 B           0 B           0 B           0 B            37  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     687.873us         0.07%     687.873us      98.268us           0 B           0 B           0 B           0 B             7  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     603.018us         0.06%     603.018us       2.079us           0 B           0 B           0 B           0 B           290  
                                            aten::rsqrt         0.27%       2.613ms         1.02%       9.781ms      33.728us     562.328us         0.06%     562.328us       1.939us           0 B           0 B      24.36 MB      24.36 MB           290  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     562.328us         0.06%     562.328us       1.939us           0 B           0 B           0 B           0 B           290  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     254.468us         0.03%     254.468us       1.178us           0 B           0 B           0 B           0 B           216  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     117.085us         0.01%     117.085us       1.626us           0 B           0 B           0 B           0 B            72  
                                     aten::masked_fill_         0.00%      11.340us         0.00%      24.021us      24.021us      95.168us         0.01%      95.168us      95.168us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      95.168us         0.01%      95.168us      95.168us           0 B           0 B           0 B           0 B             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      78.112us         0.01%      78.112us      78.112us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      50.016us         0.01%      50.016us      16.672us           0 B           0 B           0 B           0 B             3  
                                           aten::gather         0.01%      57.621us         0.01%     108.152us      54.076us      48.000us         0.01%      48.000us      24.000us           0 B           0 B           0 B           0 B             2  
                                      aten::bitwise_not         0.00%      16.140us         0.00%      26.251us      26.251us      39.264us         0.00%      39.264us      39.264us           0 B           0 B       8.51 MB       8.51 MB             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      39.264us         0.00%      39.264us      39.264us           0 B           0 B           0 B           0 B             1  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       9.889us         0.00%       9.889us       4.945us           0 B           0 B           0 B           0 B             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.545us         0.00%       8.545us       2.136us           0 B           0 B           0 B           0 B             4  
                                            aten::index         1.07%      10.238ms         1.07%      10.284ms       2.571ms       8.384us         0.00%       8.384us       2.096us       4.41 MB       4.41 MB     250.00 KB     250.00 KB             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 958.109ms
Self CUDA time total: 951.458ms
